  Bin  iJet  MuRBin     q2min     q2max    Pt_min    Pt_max   BinSize       Sigma   stat(%)  syst+(%)  syst-(%)   tot+(%)   tot-(%)  Uncorr+  Uncorr-   Model+   Model-   RW402+   RW402-     JES+     JES-    RCES+    RCES-    ElEn+    ElEn-    ElTh+    ElTh-    Lumi+    Lumi-    LArN+    LArN-     PHP+     PHP-  PHPUnc+  PHPUnc-  StatMC+  StatMC-  RadErr+  RadErr-   HadCorr    HadErr   RadCorr          
    1     1       1       5.5       8.0       4.5       7.0      6.25    1.50e+03      1.97      5.50     -4.40      5.85     -4.83     1.00     1.00    -0.66     0.66     1.14    -1.14     1.02    -1.15    -2.66     4.16     0.56     0.09     0.75    -0.01     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.26     1.26     0.42    -0.42     0.865      6.09     1.015
    2     1       1       5.5       8.0       7.0      11.0     10.00    4.38e+02      2.17     12.27    -11.72     12.47    -11.93     1.00     1.00    -2.98     2.98     2.49    -2.49    -8.07     9.16     6.41    -6.87     0.66    -0.30     0.32     0.21     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.33     1.33     0.80    -0.80     0.895      4.49     1.020
    3     1       3       5.5       8.0      11.0      17.0     15.00    1.06e+02      2.83      8.48     -8.40      8.97     -8.89     1.00     1.00    -4.92     4.92     3.36    -3.36    -4.90     5.11    -0.26    -0.95     0.41    -0.37     0.10     0.21     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.33     1.33     0.91    -0.91     0.929      3.00     1.024
    4     1       5       5.5       8.0      17.0      25.0     20.00    1.81e+01      5.72      9.19     -9.11     10.88    -10.80     1.00     1.00    -4.23     4.23     4.87    -4.87    -5.15     5.29     0.78    -0.87    -0.20     0.32     0.54    -0.27     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     2.39     2.39     0.88    -0.88     0.950      2.17     1.017
    5     1       7       5.5       8.0      25.0      35.0     25.00    2.16e+00     16.44     13.71    -14.43     21.77    -22.23     1.00     1.00    -6.48     6.48     6.09    -6.09    -8.37     7.63     0.61    -3.13     0.78    -0.30     0.45     0.78     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     6.27     6.27     1.49    -1.49     0.951      0.90     1.029
    6     1       8       5.5       8.0      35.0      50.0     37.50    3.26e-01     31.06     22.10    -23.48     39.28    -40.07     1.00     1.00   -12.04    12.04    -0.70     0.70   -13.40    10.13     2.46    -2.77    -1.10     3.84     1.37    -0.04     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00    14.24    14.24     2.68    -2.68     0.949      0.20     1.046
    7     1       1       8.0      11.0       4.5       7.0      7.50    1.08e+03      2.03      9.70     -9.53      9.92     -9.75     1.00     1.00    -6.61     6.61     4.62    -4.62     0.28    -0.92    -3.95     4.43     0.24    -0.18     0.50    -0.62     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.15     1.15     0.43    -0.43     0.872      5.37     1.016
    8     1       2       8.0      11.0       7.0      11.0     12.00    3.61e+02      2.15     11.36    -10.78     11.57    -11.00     1.00     1.00    -5.97     5.97     2.48    -2.48    -6.92     8.19     3.29    -4.14     0.31    -0.12     0.66    -0.79     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.08     1.08     0.28    -0.28     0.902      4.21     1.024
    9     1       3       8.0      11.0      11.0      17.0     18.00    8.48e+01      2.97      7.35     -6.81      7.96     -7.46     1.00     1.00    -4.86     4.86     1.16    -1.16    -3.12     4.40    -1.06     0.17    -0.35    -0.03     0.50    -0.99     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     1.17     1.17     0.73    -0.73     0.932      2.80     1.024
   10     1       5       8.0      11.0      17.0      25.0     24.00    1.27e+01      6.92     13.02    -12.89     14.83    -14.71     1.00     1.00    -9.40     9.39     6.11    -6.11    -5.09     5.56    -0.03    -1.12     0.17    -0.59    -0.35    -0.12     2.50     2.50     0.50     0.50     0.00     0.00     0.00     0.00     2.25     2.25     0.57    -0.57     0.947      1.89     1.026
