  Bin  iJet  MuRBin     q2min     q2max    Pt_min    Pt_max   BinSize       Sigma   stat(%)  syst+(%)  syst-(%)   tot+(%)   tot-(%)  Uncorr+  Uncorr-   Model+   Model-   RW402+   RW402-     JES+     JES-    RCES+    RCES-    ElEn+    ElEn-    ElTh+    ElTh-    Lumi+    Lumi-    LArN+    LArN-     PHP+     PHP-  PHPUnc+  PHPUnc-  StatMC+  StatMC-  RadErr+  RadErr-   HadCorr    HadErr   RadCorr          
    1     3       1       5.5       8.0       5.5       8.0      6.25    3.52e-03      7.08     30.55    -30.17     31.39    -31.02     1.00     1.00   -21.81    21.81    17.83   -17.83     5.47    -5.37    -8.46     9.64    -0.22    -0.24    -0.02     0.93     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     3.69     3.69     0.68    -0.68     0.737      7.37     1.024
    2     3       2       5.5       8.0       8.0      12.0     10.00    1.76e-03      5.43     15.30    -15.04     16.27    -16.02     1.00     1.00    -9.30     9.30    11.41   -11.41    -0.62     2.09     0.27     2.08    -0.60    -0.07    -0.34     0.50     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     2.38     2.38     0.60    -0.60     0.793      4.90     1.023
    3     3       4       5.5       8.0      12.0      20.0     20.00    4.06e-04      7.38      6.93     -6.29     10.21     -9.79     1.00     1.00    -2.09     2.09     3.65    -3.65    -3.15     4.09     1.09     0.19    -0.01     0.71    -0.32     0.23     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     2.78     2.78     1.31    -1.31     0.839      2.63     1.024
    4     3       7       5.5       8.0      20.0      40.0     50.00    3.27e-05     19.83     12.21    -11.23     23.84    -23.35     1.00     1.00    -3.06     3.06     5.58    -5.59    -2.46     2.79     3.71    -1.10     0.66     2.73     0.19     1.37     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     6.67     6.67     5.56    -5.56     0.838      0.32     1.040
    5     3       1       8.0      11.0       5.5       8.0      7.50    4.72e-03      6.29     18.35    -18.32     19.45    -19.41     1.00     1.00   -12.10    12.10    10.40   -10.40     5.88    -6.25    -5.51     6.00     0.60     0.62    -0.08    -0.05     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     2.95     2.95     0.52    -0.52     0.738      7.47     1.033
    6     3       2       8.0      11.0       8.0      12.0     12.00    2.00e-03      5.85     13.53    -13.59     14.80    -14.86     1.00     1.00    -8.32     8.32    10.02   -10.02    -2.18     1.41    -1.42     1.81     0.24     0.02    -0.65     0.34     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     2.27     2.27     0.57    -0.57     0.794      4.67     1.036
    7     3       4       8.0      11.0      12.0      20.0     24.00    4.42e-04      9.08      7.44     -6.50     11.90    -11.33     1.00     1.00    -2.94     2.94     2.27    -2.27    -3.50     5.32     0.40    -1.37    -0.40    -0.84    -0.89     0.31     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     3.02     3.02     1.16    -1.16     0.841      2.09     1.033
    8     3       7       8.0      11.0      20.0      40.0     60.00    3.18e-05     27.47     20.66    -20.35     35.84    -35.66     1.00     1.00    15.01   -15.01    -4.78     4.78     2.37     6.44     0.67    -4.01    -2.53     0.58    -0.23    -1.16     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00    10.98    10.98     3.66    -3.66     0.841      0.67     1.078
    9     3       1      11.0      16.0       5.5       8.0     12.50    5.35e-03      5.39     16.52    -16.29     17.42    -17.20     1.00     1.00    -9.17     9.17     9.66    -9.66     4.48    -4.02    -7.92     8.17    -0.51    -0.62    -0.11    -0.45     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     2.42     2.42     0.49    -0.49     0.734      7.33     1.034
   10     3       2      11.0      16.0       8.0      12.0     20.00    2.80e-03      4.79     14.73    -14.39     15.54    -15.22     1.00     1.00    -7.11     7.11    12.04   -12.04    -2.01     2.67    -1.30     2.88     0.24    -0.07     0.19     0.42     0.77     0.77     0.90     0.90     0.00     0.00     0.00     0.00     1.72     1.72     0.57    -0.57     0.793      4.68     1.049
