  Bin  iJet  MuRBin     q2min     q2max    Pt_min    Pt_max   BinSize       Sigma   stat(%)  syst+(%)  syst-(%)   tot+(%)   tot-(%)  Uncorr+  Uncorr-   Model+   Model-   RW402+   RW402-     JES+     JES-    RCES+    RCES-    ElEn+    ElEn-    ElTh+    ElTh-    Lumi+    Lumi-    LArN+    LArN-     PHP+     PHP-  PHPUnc+  PHPUnc-  StatMC+  StatMC-  RadErr+  RadErr-   HadCorr    HadErr   RadCorr          
    1     1       1       5.5       8.0       4.5       7.0      6.25    1.10e-01      1.98      4.58     -3.39      4.99     -3.93     1.00     1.00    -0.46     0.46     0.95    -0.95     0.99    -1.12    -2.32     3.82     0.49     0.13     0.16     0.57     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     1.29     1.29     0.42    -0.42     0.865      6.09     1.015
    2     1       1       5.5       8.0       7.0      11.0     10.00    3.23e-02      2.18     12.59    -12.06     12.78    -12.26     1.00     1.00    -2.80     2.80     2.29    -2.29    -8.36     9.48     7.07    -7.60     0.59    -0.27    -0.39     0.90     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     1.37     1.37     0.80    -0.80     0.895      4.49     1.020
    3     1       3       5.5       8.0      11.0      17.0     15.00    7.83e-03      2.84      8.19     -8.16      8.69     -8.65     1.00     1.00    -4.82     4.82     3.21    -3.21    -5.09     5.31     0.18    -1.47     0.33    -0.34    -0.55     0.85     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     1.36     1.36     0.91    -0.91     0.929      3.00     1.024
    4     1       5       5.5       8.0      17.0      25.0     20.00    1.33e-03      5.72      8.96     -8.88     10.66    -10.59     1.00     1.00    -4.12     4.12     4.77    -4.77    -5.35     5.49     1.23    -1.37    -0.28     0.37    -0.07     0.33     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     2.46     2.46     0.88    -0.88     0.950      2.17     1.017
    5     1       7       5.5       8.0      25.0      35.0     25.00    1.59e-04     16.44     13.73    -14.55     21.70    -22.22     1.00     1.00    -6.36     6.36     5.94    -5.94    -8.68     7.92     1.19    -3.85     0.70    -0.27    -0.38     1.61     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     6.45     6.45     1.49    -1.49     0.951      0.90     1.029
    6     1       8       5.5       8.0      35.0      50.0     37.50    2.41e-05     31.06     22.50    -23.99     39.32    -40.19     1.00     1.00   -12.04    12.04    -1.07     1.07   -13.86    10.50     3.16    -3.55    -1.25     4.00     0.48     0.86     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00    14.63    14.63     2.68    -2.68     0.949      0.20     1.046
    7     1       1       8.0      11.0       4.5       7.0      7.50    1.23e-01      2.04      8.90     -8.74      9.14     -8.98     1.00     1.00    -6.24     6.24     4.60    -4.60     0.24    -0.90    -3.44     3.93     0.46    -0.37    -0.27     0.20     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     1.18     1.18     0.43    -0.43     0.872      5.37     1.016
    8     1       2       8.0      11.0       7.0      11.0     12.00    4.09e-02      2.15     11.26    -10.69     11.47    -10.91     1.00     1.00    -5.56     5.56     2.42    -2.42    -7.11     8.41     4.00    -4.87     0.54    -0.31    -0.16     0.08     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     1.10     1.10     0.28    -0.28     0.902      4.21     1.024
    9     1       3       8.0      11.0      11.0      17.0     18.00    9.63e-03      2.98      6.74     -5.95      7.38     -6.67     1.00     1.00    -4.43     4.43     1.06    -1.06    -3.23     4.54    -0.45    -0.46    -0.13    -0.23    -0.32    -0.14     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     1.20     1.20     0.73    -0.73     0.932      2.80     1.024
   10     1       5       8.0      11.0      17.0      25.0     24.00    1.44e-03      6.92     12.63    -12.60     14.45    -14.42     1.00     1.00    -8.98     8.97     6.10    -6.10    -5.25     5.73     0.69    -1.87     0.43    -0.82    -1.31     0.89     0.77     0.77     0.50     0.50     0.00     0.00     0.00     0.00     2.30     2.30     0.57    -0.57     0.947      1.89     1.026
