  Bin  iJet  MuRBin     q2min     q2max    Pt_min    Pt_max   BinSize       Sigma   stat(%)  syst+(%)  syst-(%)   tot+(%)   tot-(%)  Uncorr+  Uncorr-   Model+   Model-   RW402+   RW402-     JES+     JES-    RCES+    RCES-    ElEn+    ElEn-    ElTh+    ElTh-    Lumi+    Lumi-    LArN+    LArN-     PHP+     PHP-  PHPUnc+  PHPUnc-  StatMC+  StatMC-  RadErr+  RadErr-   HadCorr    HadErr   RadCorr          
    1     2       1       5.5       8.0       5.0       7.0      5.00    2.21e-02      3.31     13.73    -13.64     14.13    -14.05     1.00     1.00    -7.11     7.11     6.05    -6.05     5.53    -5.82    -7.62     7.92    -0.45     1.07     0.16     0.47     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     2.16     2.16     0.55    -0.55     0.865      4.97     1.017
    2     2       1       5.5       8.0       7.0      11.0     10.00    1.36e-02      2.01      6.88     -6.87      7.18     -7.16     1.00     1.00    -4.86     4.86     3.78    -3.78    -2.08     2.08     0.66     0.04     0.37    -0.48    -0.76     0.63     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     1.02     1.02     1.06    -1.06     0.896      3.85     1.023
    3     2       3       5.5       8.0      11.0      17.0     15.00    2.93e-03      2.81      7.12     -7.10      7.67     -7.65     1.00     1.00    -4.25     4.25     3.16    -3.16    -3.92     4.11     1.10    -1.36     0.17    -0.25    -0.95     0.57     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     1.11     1.11     0.96    -0.96     0.933      2.80     1.021
    4     2       5       5.5       8.0      17.0      25.0     20.00    4.90e-04      5.90      6.74     -5.42      8.98     -8.04     1.00     1.00    -1.96     1.96     0.81    -0.81    -3.88     5.62     0.86    -1.01    -0.28     0.13    -0.51     0.18     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     2.19     2.19     1.32    -1.32     0.954      2.32     1.015
    5     2       7       5.5       8.0      25.0      35.0     25.00    8.38e-05     12.68      9.38     -8.68     16.12    -15.72     1.00     1.00     5.21    -5.21    -2.41     2.41    -1.74     4.15     2.27    -2.37     0.16     0.09    -1.53     1.10     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     5.09     5.09     1.88    -1.88     0.942      1.19     1.041
    6     2       8       5.5       8.0      35.0      50.0     37.50    1.58e-05     21.65     19.40    -21.51     29.63    -31.05     1.00     1.00   -12.06    12.06    10.72   -10.72    -9.44    -0.12     1.33    -1.92     0.75     0.38    -0.71     2.19     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     9.65     9.65     3.69    -3.69     0.969      3.01     1.042
    7     2       1       8.0      11.0       5.0       7.0      6.00    2.90e-02      3.01      8.35     -7.92      8.88     -8.47     1.00     1.00     1.69    -1.69    -1.09     1.09     4.00    -4.07    -6.01     6.44     1.37    -0.96    -0.32     1.14     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     1.62     1.62     0.63    -0.63     0.873      4.31     1.014
    8     2       2       8.0      11.0       7.0      11.0     12.00    1.69e-02      2.09      2.98     -2.87      3.66     -3.56     1.00     1.00    -0.51     0.51     0.58    -0.58    -1.89     2.25    -1.04     0.48     0.24    -0.14     0.11     0.09     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     0.94     0.94     0.32    -0.32     0.903      3.54     1.024
    9     2       3       8.0      11.0      11.0      17.0     18.00    3.64e-03      2.98      7.55     -7.65      8.13     -8.22     1.00     1.00    -4.11     4.11     4.39    -4.39    -4.16     4.01     0.83    -1.05     0.51    -0.50    -0.19     0.48     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     1.01     1.01     0.78    -0.78     0.936      2.82     1.025
   10     2       5       8.0      11.0      17.0      25.0     24.00    5.73e-04      6.72      9.87    -10.16     11.98    -12.22     1.00     1.00    -7.78     7.78     2.85    -2.85    -4.73     3.92     2.06    -1.93     1.19    -0.97    -0.90     1.05     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     2.00     2.00     0.86    -0.86     0.952      2.03     1.021
   11     2       7       8.0      11.0      25.0      35.0     30.00    1.02e-04     14.51      8.56    -10.00     17.39    -18.14     1.00     1.00    -3.14     3.14    -1.35     1.35    -5.61     2.80     1.78    -2.02    -1.11     0.68    -1.12     0.14     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     6.52     6.52     2.39    -2.39     0.954      1.66     1.055
   12     2       8       8.0      11.0      35.0      50.0     45.00    7.31e-06     73.09     52.29    -51.98     92.29    -92.11     1.00     1.00    29.46   -29.46   -21.91    21.91   -11.85    16.61    -0.92    -5.78    -1.94    -4.68    -8.12    -3.70     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00    32.76    32.76     4.08    -4.08     0.963      2.31     1.052
   13     2       1      11.0      16.0       5.0       7.0     10.00    3.04e-02      3.04      8.33     -7.53      8.88     -8.13     1.00     1.00    -1.46     1.46    -3.36     3.36     4.12    -3.45    -5.13     5.86    -0.30     0.17    -0.34    -0.56     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     1.57     1.57     0.44    -0.44     0.885      3.59     1.020
   14     2       2      11.0      16.0       7.0      11.0     20.00    1.89e-02      2.07      3.44     -2.96      4.03     -3.63     1.00     1.00    -1.21     1.21     0.90    -0.90    -1.87     2.50     0.05     0.47     0.38    -0.19    -0.37     0.34     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     0.82     0.82     0.47    -0.47     0.913      3.23     1.024
   15     2       3      11.0      16.0      11.0      17.0     30.00    4.64e-03      2.67      6.53     -6.20      7.07     -6.77     1.00     1.00    -3.11     3.11     3.50    -3.50    -3.62     4.10     0.63    -0.10     0.20     0.08    -0.23     0.30     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     0.84     0.84     0.84    -0.84     0.936      2.54     1.031
   16     2       5      11.0      16.0      17.0      25.0     40.00    8.75e-04      5.22      6.07     -5.94      8.13     -8.03     1.00     1.00    -3.50     3.50     0.91    -0.91    -4.12     4.15     1.35    -0.57     0.28    -0.22    -0.42     0.22     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     1.44     1.44     0.79    -0.79     0.957      2.23     1.046
   17     2       7      11.0      16.0      25.0      35.0     50.00    1.37e-04     13.50      7.46     -5.54     15.79    -14.98     1.00     1.00     0.65    -0.65     1.04    -1.04    -2.95     5.02     2.59    -0.78     1.36     0.68     0.29     1.04     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     3.77     3.77     1.79    -1.79     0.957      1.75     1.043
   18     2       8      11.0      16.0      35.0      50.0     75.00    1.58e-05     36.48     20.12    -19.63     40.80    -40.56     1.00     1.00    -5.14     5.14     9.30    -9.30    -9.44    10.55    -0.82    -1.32    -1.41     0.22    -0.17     0.42     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00    10.67    10.67     7.98    -7.98     0.963      3.01     0.985
   19     2       1      16.0      22.0       5.0       7.0     12.00    3.50e-02      3.79      8.18     -9.01      9.04     -9.80     1.00     1.00     0.02    -0.02     2.25    -2.25     3.91    -4.86    -6.83     6.36     0.87    -0.61    -0.15     0.21     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     1.83     1.83     0.31    -0.31     0.891      2.67     1.025
   20     2       2      16.0      22.0       7.0      11.0     24.00    2.36e-02      2.37      5.45     -5.75      5.95     -6.23     1.00     1.00    -3.67     3.67     3.48    -3.48    -1.74     1.06    -1.14     0.22     0.30    -0.57    -0.15     0.08     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     0.83     0.83     0.43    -0.43     0.922      2.70     1.021
   21     2       3      16.0      22.0      11.0      17.0     36.00    5.64e-03      3.14      8.79     -9.37      9.36     -9.90     1.00     1.00    -5.42     5.42     5.90    -5.90    -4.20     3.10     0.44    -1.25     0.32    -0.90    -0.65     0.33     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     0.86     0.86     0.67    -0.67     0.942      2.59     1.031
   22     2       5      16.0      22.0      17.0      25.0     48.00    1.00e-03      6.74     10.47    -10.33     12.51    -12.40     1.00     1.00    -6.26     6.25     6.38    -6.38    -3.53     4.06     0.96    -1.22     0.57    -0.97    -0.83     0.82     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     1.84     1.84     2.46    -2.46     0.953      1.75     1.028
   23     2       7      16.0      22.0      25.0      35.0     60.00    1.63e-04     15.23     11.80     -9.45     19.73    -18.42     1.00     1.00    -4.90     4.90     5.45    -5.45    -2.08     7.32     0.83    -0.50     0.98     0.98     0.49     0.40     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     4.35     4.35     2.99    -2.99     0.956      1.45     1.048
   24     2       8      16.0      22.0      35.0      50.0     90.00    2.56e-05     41.38     31.18    -30.78     53.72    -53.49     1.00     1.00   -12.07    12.07    15.11   -15.11    -6.44     4.63     2.37    -1.06     6.81    -2.41    -1.04     0.81     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00    21.86    21.86     6.64    -6.64     0.939     -0.28     1.067
   25     2       1      22.0      30.0       5.0       7.0     16.00    4.13e-02      4.20      8.10     -6.09      9.16     -7.44     1.00     1.00    -1.41     1.41    -0.73     0.73     4.15    -3.76    -3.92     6.36     0.79     0.45    -0.01    -0.00     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     1.67     1.67     0.31    -0.31     0.898      2.08     1.030
   26     2       2      22.0      30.0       7.0      11.0     32.00    2.99e-02      2.40      3.22     -2.77      4.04     -3.69     1.00     1.00    -0.63     0.63     1.88    -1.88    -0.97     1.52    -0.41     1.16     0.34    -0.05    -0.15     0.29     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     0.75     0.75     0.30    -0.30     0.929      2.25     1.028
   27     2       3      22.0      30.0      11.0      17.0     48.00    7.62e-03      3.13      6.86     -6.72      7.55     -7.43     1.00     1.00    -3.63     3.63     4.31    -4.31    -3.20     3.45     0.62    -0.44     0.14    -0.18    -0.06     0.25     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     0.79     0.79     0.54    -0.54     0.946      2.40     1.023
   28     2       6      22.0      30.0      17.0      25.0     64.00    1.39e-03      6.51      7.66     -8.13     10.14    -10.50     1.00     1.00    -4.36     4.36     3.43    -3.43    -5.43     4.51     1.22    -0.66     0.79    -0.03     0.08     0.39     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     1.61     1.61     0.89    -0.89     0.960      1.99     1.031
   29     2       7      22.0      30.0      25.0      35.0     80.00    2.41e-04     13.52     12.57    -12.27     18.61    -18.41     1.00     1.00    -7.57     7.57     6.34    -6.34    -4.27     4.84     1.61     0.18    -0.01    -0.20    -0.39    -0.08     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     3.77     3.77     4.28    -4.28     0.954      2.49     1.025
   30     2       8      22.0      30.0      35.0      50.0    120.00    4.73e-05     27.75     20.43    -18.62     33.44    -32.37     1.00     1.00   -10.12    10.12     8.18    -8.18    -3.83     9.10    -1.88     2.76    -0.80    -0.88     1.46    -1.86     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     8.82     8.82     8.68    -8.68     0.951      1.15     0.964
   31     2       1      30.0      42.0       5.0       7.0     24.00    4.19e-02      5.38      8.38     -7.89     10.03     -9.62     1.00     1.00    -0.64     0.64     1.08    -1.08     3.80    -3.81    -5.96     6.64     1.33    -1.37    -0.86     0.55     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     2.41     2.41     0.51    -0.51     0.901      1.50     1.034
   32     2       2      30.0      42.0       7.0      11.0     48.00    3.38e-02      2.68      5.72     -5.63      6.33     -6.26     1.00     1.00    -3.42     3.42     3.92    -3.92    -0.78     1.12    -0.84     1.11     0.55    -0.65    -0.31     0.12     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     0.89     0.89     0.20    -0.20     0.937      1.80     1.028
   33     2       3      30.0      42.0      11.0      17.0     72.00    9.62e-03      3.06      6.15     -6.28      6.90     -7.01     1.00     1.00    -2.15     2.15     4.62    -4.62    -3.24     2.97     0.49    -0.13     0.25    -0.46    -0.25     0.21     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     0.74     0.74     0.39    -0.39     0.952      2.04     1.035
   34     2       6      30.0      42.0      17.0      25.0     96.00    1.84e-03      6.20      9.43     -9.46     11.34    -11.36     1.00     1.00    -5.41     5.41     6.23    -6.23    -3.90     3.70     1.15    -0.84     0.72    -0.47    -0.19     0.41     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     1.54     1.54     0.96    -0.96     0.960      1.56     1.027
   35     2       7      30.0      42.0      25.0      35.0    120.00    3.01e-04     14.44     10.19     -7.73     17.87    -16.59     1.00     1.00     2.91    -2.91    -0.79     0.79    -4.72     8.09     0.73    -1.34     0.10     1.44     0.63     0.73     0.77     0.77     0.60     0.60     0.00     0.00     0.00     0.00     4.36     4.36     2.28    -2.28     0.962      1.83     1.028
