  Bin  iJet  MuRBin     q2min     q2max    Pt_min    Pt_max   BinSize       Sigma   stat(%)  syst+(%)  syst-(%)   tot+(%)   tot-(%)  Uncorr+  Uncorr-   Model+   Model-   RW402+   RW402-     JES+     JES-    RCES+    RCES-    ElEn+    ElEn-    ElTh+    ElTh-    Lumi+    Lumi-    LArN+    LArN-     PHP+     PHP-  PHPUnc+  PHPUnc-  StatMC+  StatMC-  RadErr+  RadErr-   HadCorr    HadErr   RadCorr          
    1     3       1       5.5       8.0       5.5       8.0      6.25    4.77e+01      7.08     30.43    -30.02     31.28    -30.89     1.00     1.00   -21.52    21.51    17.65   -17.65     5.40    -5.30    -8.79    10.00    -0.10    -0.28     0.79     0.12     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     3.59     3.59     0.68    -0.68     0.737      7.37     1.024
    2     3       2       5.5       8.0       8.0      12.0     10.00    2.38e+01      5.43     15.53    -15.20     16.49    -16.18     1.00     1.00    -9.32     9.32    11.38   -11.38    -0.53     1.97    -0.25     2.59    -0.48    -0.11     0.41    -0.24     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     2.32     2.32     0.60    -0.60     0.793      4.90     1.023
    3     3       4       5.5       8.0      12.0      20.0     20.00    5.51e+00      7.38      7.29     -6.81     10.50    -10.17     1.00     1.00    -2.28     2.28     3.80    -3.80    -3.00     3.92     0.61     0.70     0.08     0.65     0.36    -0.43     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     2.70     2.70     1.31    -1.31     0.839      2.63     1.024
    4     3       7       5.5       8.0      20.0      40.0     50.00    4.43e-01     19.83     12.17    -11.39     23.94    -23.56     1.00     1.00    -3.17     3.17     5.63    -5.63    -2.34     2.67     3.25    -0.66     0.71     2.62     0.72     0.82     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     6.49     6.49     5.56    -5.56     0.838      0.32     1.040
    5     3       1       8.0      11.0       5.5       8.0      7.50    4.16e+01      6.29     18.83    -18.78     19.92    -19.87     1.00     1.00   -12.41    12.41    10.31   -10.31     5.81    -6.16    -6.05     6.54     0.35     0.81     0.79    -0.97     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     2.89     2.89     0.52    -0.52     0.738      7.47     1.033
    6     3       2       8.0      11.0       8.0      12.0     12.00    1.77e+01      5.85     14.08    -14.12     15.33    -15.37     1.00     1.00    -8.80     8.80     9.96    -9.96    -2.08     1.33    -2.15     2.54    -0.04     0.25     0.37    -0.74     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     2.22     2.22     0.57    -0.57     0.794      4.67     1.036
    7     3       4       8.0      11.0      12.0      20.0     24.00    3.90e+00      9.08      7.96     -7.00     12.30    -11.71     1.00     1.00    -3.54     3.54     2.37    -2.37    -3.37     5.15    -0.38    -0.57    -0.67    -0.59     0.14    -0.77     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     2.95     2.95     1.16    -1.16     0.841      2.09     1.033
    8     3       7       8.0      11.0      20.0      40.0     60.00    2.80e-01     27.47     19.85    -19.54     35.64    -35.47     1.00     1.00    14.01   -14.00    -4.52     4.52     2.37     6.25    -0.15    -3.12    -2.77     0.81     0.83    -2.26     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00    10.75    10.75     3.66    -3.66     0.841      0.67     1.078
    9     3       1      11.0      16.0       5.5       8.0     12.50    4.17e+01      5.40     16.85    -16.63     17.75    -17.54     1.00     1.00    -9.54     9.54     9.16    -9.16     4.42    -3.96    -8.37     8.66    -0.77    -0.25     0.69    -1.19     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     2.37     2.37     0.49    -0.49     0.734      7.33     1.034
   10     3       2      11.0      16.0       8.0      12.0     20.00    2.18e+01      4.79     14.82    -14.40     15.65    -15.25     1.00     1.00    -7.53     7.52    11.49   -11.49    -1.93     2.58    -1.90     3.50    -0.05     0.28     0.98    -0.34     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     1.68     1.68     0.57    -0.57     0.793      4.68     1.049
   11     3       4      11.0      16.0      12.0      20.0     40.00    5.03e+00      6.87      9.61     -9.99     11.97    -12.28     1.00     1.00    -6.29     6.29     5.59    -5.59    -3.82     2.76    -0.17     0.39    -0.23     0.19     0.56    -1.01     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     2.06     2.06     1.05    -1.05     0.845      2.73     1.041
   12     3       7      11.0      16.0      20.0      40.0    100.00    3.95e-01     19.59     11.04    -11.59     22.96    -23.23     1.00     1.00    -3.36     3.36    -0.38     0.37    -7.65     7.17     0.87    -2.22     1.63    -1.94    -1.54     1.53     2.50     2.50     0.90     0.90     0.00     0.00     0.00     0.00     5.76     5.76     3.45    -3.45     0.856      0.16     1.028
