Q2,x,y,Sigma,stat,uncor,sys1,sys2,sys3,sys4,sys5,sys6,sys7,sys8,sys9,sys10,sys11,sys12,sys13,sys14,sys15,sys16,sys17,sys18,sys19,sys20,sys21,sys22,sys23,sys24,sys25,sys26,sys27,sys28,sys29,sys30,sys31,sys32,sys33,sys34,sys35,sys36,sys37,sys38,sys39,sys40,sys41,sys42,sys43,sys44,sys45,sys46,sys47,sys48,sys49,sys50,sys51,sys52,sys53,sys54,sys55,sys56,sys57,sys58,sys59,sys60,sys61,sys62,sys63,sys64,sys65,sys66,sys67,sys68,sys69,sys70,sys71,sys72,sys73,sys74,sys75,sys76,sys77,sys78,sys79,sys80,sys81,sys82,sys83,sys84,sys85,sys86,sys87,sys88,sys89,sys90,sys91,sys92,sys93,sys94,sys95,sys96,sys97,sys98,sys99,sys100,sys101,sys102,sys103,sys104,sys105,sys106,sys107,sys108,sys109,sys110,sys111,sys112,sys113,sys114,sys115,sys116,sys117,sys118,sys119,sys120,sys121,sys122,sys123,sys124,sys125,sys126,sys127,sys128,sys129,sys130,sys131,sys132,sys133,sys134,sys135,sys136,sys137,sys138,sys139,sys140,sys141,sys142,sys143,sys144,sys145,sys146,sys147,sys148,sys149,sys150,sys151,sys152,sys153,sys154,sys155,sys156,sys157,sys158,sys159,sys160,sys161,sys162,tot_noproc,delta_rel,delta_1,delta_2,delta_3,delta_4,delta_gp,delta_had
60,0.0008,0.74111,1.4831,1.0121,1.8397,0.345,0.071,-0.043,0.438,0.725,-0.181,-0.001,0,-0.002,0.001,-0.034,-0.018,-0.011,0.014,0.016,0.056,0.031,0.521,-0.082,-0.013,-0.053,0.01,-0.032,0.019,0.01,-0.033,-0.042,0.009,0.03,-0.018,-0.103,-0.032,0.009,0.003,0.011,0.002,0.002,0.03,-0.008,0.033,-0.006,-0.01,0.034,-0.019,-0.051,-0.026,0.036,0.001,0.024,-0.004,-0.007,0.034,-0.014,-0.004,-0.03,0.076,-0.051,-0.024,0.047,-0.037,-0.006,0.021,-0.016,-0.007,-0.039,-0.043,-0.011,0.013,-0.011,-0.058,0.016,-0.066,0.037,0.019,0.089,0.024,0.182,0.032,0.01,-0.08,0.05,0.025,-0.007,-0.019,-0.008,0.045,0.024,-0.001,0.018,0.033,0.021,-0.037,0.004,-0.001,0.032,0.023,-0.003,-0.03,-0.075,-0.03,0,0.009,-0.018,-0.006,-0.025,0.066,-0.07,0.004,-0.002,0,0.015,0.003,0.006,0.006,-0.003,0.011,-0.02,0,0,-0.001,-0.001,0.025,0.012,-0.063,0.011,-0.007,-0.071,0.045,0.021,-0.071,-0.02,-0.046,0.044,-0.003,-0.004,-0.007,-0.004,-0.01,-0.004,0.079,0.009,-0.103,0.075,-0.045,0.004,0.006,-0.072,0.033,-0.031,-0.071,-0.003,0.029,-0.143,-0.03,-0.07,-0.002,-0.004,-0.008,0,-0.075,0.015,-0.147,2.41253,0.155081,0,-0.0404558,0.0134853,-0.074169,-0.0404667,-0.03372
90,0.0013,0.6841,1.466,0.81667,1.6348,0.345,0.071,-0.043,0.438,0.725,-0.181,0,-0.001,-0.001,0.002,-0.033,-0.019,-0.009,0.011,0.014,0.047,0.029,0.432,-0.066,-0.011,-0.042,0.011,-0.025,0.017,0.009,-0.027,-0.037,0.008,0.022,-0.017,-0.087,-0.029,0.007,0.003,0.009,0.003,0.002,0.028,-0.011,0.032,0.003,-0.004,0.028,-0.02,-0.045,-0.019,0.029,0.002,0.015,-0.001,-0.006,0.029,-0.011,-0.002,-0.02,0.061,-0.037,-0.016,0.036,-0.029,-0.007,0.007,-0.015,-0.004,-0.04,-0.041,-0.015,0.003,0.002,-0.054,0.006,-0.052,0.033,0.018,0.034,0.016,0.126,0.031,0.011,-0.028,0.029,-0.033,0.013,-0.002,0.019,-0.006,0.023,-0.002,-0.008,-0.001,-0.03,-0.019,-0.024,0,0.039,-0.021,0.007,-0.036,-0.048,-0.032,0.005,0.019,-0.031,-0.001,-0.016,0.063,-0.068,0.01,-0.002,0.005,-0.01,0.004,0.002,0.009,-0.003,0.016,-0.017,0,0.002,0.009,-0.001,0.024,-0.002,-0.057,0.007,-0.007,-0.066,0.042,0.022,-0.063,0.005,-0.071,0.035,-0.003,-0.005,-0.029,-0.027,-0.009,0.001,0.075,0.007,-0.083,0.065,-0.028,0.003,0.006,-0.065,0.03,-0.032,-0.067,-0.003,0.025,-0.128,-0.028,-0.064,-0.002,-0.003,-0.007,0,-0.068,0.014,-0.134,2.14239,0.0341064,0,-0.0409277,0.0272851,-0.0818554,-0.0204652,-0.0204652
90,0.0015,0.59289,1.4219,1.1978,1.0996,0.345,0.071,-0.043,0.438,0.725,-0.181,0,-0.003,-0.001,0.005,-0.03,-0.024,-0.002,-0.006,0.005,-0.005,0.019,-0.016,0,0.005,0.012,0.014,0.006,0.017,0.006,0.007,-0.02,0.011,-0.005,-0.006,0.003,-0.015,0.014,-0.011,0.011,0.006,0,0.016,-0.007,0.027,-0.023,-0.019,0.058,-0.02,-0.067,-0.045,-0.028,0.044,0.041,0.007,-0.048,0.079,0.027,0.007,-0.054,0.12,0.053,-0.026,0.151,-0.088,-0.01,0.1,-0.041,-0.013,-0.04,-0.014,0.077,0.121,-0.226,0.168,0.271,-0.163,0.125,0.043,0.455,0.049,-0.119,-0.024,-0.016,-0.019,0.117,-0.013,-0.023,-0.015,0.058,-0.001,0.009,0,0.01,0.007,0.06,-0.091,0.032,-0.001,0.124,0.032,-0.047,-0.34,-0.262,0.202,-0.275,0.221,-0.199,-0.014,-0.064,-0.063,0.229,-0.059,0.014,-0.067,-0.099,0.011,-0.013,0.032,-0.031,0.072,-0.033,0.001,0.011,0.057,0.002,0.014,0.019,-0.012,-0.045,-0.007,-0.077,0.054,0.066,-0.04,-0.004,-0.015,0.026,-0.005,0.017,-0.01,-0.027,0,0.004,0.081,0.008,-0.084,0.087,-0.036,0.004,0.007,-0.079,0.034,-0.036,-0.074,-0.003,0.025,-0.139,-0.031,-0.071,-0.002,-0.004,-0.008,0,-0.075,0.016,-0.149,2.16751,0.984598,0,-0.0351642,-0.112525,-0.210985,-1.08757,-0.126734
90,0.002,0.44466,1.27,3.4101,3.3002,0.345,0.071,-0.043,0.438,0.725,-0.181,0,-0.003,0,0.005,-0.03,-0.024,-0.002,-0.005,0.005,-0.004,0.019,-0.009,0.002,0.003,0.012,0.015,0.006,0.015,0.006,0.006,-0.018,0.009,-0.007,-0.004,-0.001,-0.015,0.012,-0.01,0.011,0.007,0,0.016,-0.011,0.027,-0.008,-0.01,0.045,-0.02,-0.056,-0.033,-0.021,0.035,0.028,0.007,-0.038,0.062,0.024,0.007,-0.035,0.09,0.049,-0.014,0.111,-0.065,-0.009,0.067,-0.033,-0.006,-0.043,-0.021,0.053,0.086,-0.166,0.132,0.199,-0.121,0.099,0.029,0.339,0.046,0.02,-0.001,-0.009,0.004,0.074,-0.058,-0.001,0.001,0.062,-0.046,0.016,-0.001,-0.029,-0.047,0.014,-0.076,-0.007,-0.001,0.103,-0.008,-0.045,-0.279,-0.189,0.148,-0.218,0.185,-0.172,-0.01,-0.039,-0.04,0.143,-0.031,0.01,-0.038,-0.093,0.008,-0.001,0.022,-0.019,0.034,-0.032,0,0,0.021,-0.001,-0.045,0.067,-0.102,-0.041,-0.016,-0.152,0.097,0.088,-0.095,0.025,-0.086,-0.101,-0.001,0.04,-0.352,-0.497,-0.072,0.079,0.141,-0.013,0.135,-0.092,0.324,-0.011,-0.005,-0.054,-0.008,-0.069,-0.068,0.003,-0.069,0.089,-0.024,0.006,0.005,0.002,0.001,0,0.022,-0.002,0.013,4.96619,0.952756,0.00787402,-0.0314961,0.0629921,-0.165354,-0.81759,0.243481
120,0.0016,0.74111,1.4388,0.92208,1.7087,0.345,0.071,-0.043,0.438,0.725,-0.181,0,-0.001,-0.001,0.002,-0.033,-0.019,-0.009,0.01,0.013,0.044,0.028,0.407,-0.062,-0.01,-0.039,0.012,-0.023,0.016,0.009,-0.025,-0.035,0.007,0.02,-0.015,-0.082,-0.028,0.006,0.003,0.008,0.004,0.003,0.028,-0.012,0.031,0.005,-0.003,0.025,-0.02,-0.041,-0.015,0.024,0.003,0.011,0,-0.006,0.026,-0.01,-0.002,-0.016,0.052,-0.03,-0.012,0.031,-0.026,-0.007,0.002,-0.014,-0.003,-0.04,-0.041,-0.016,0,0.006,-0.052,0.003,-0.051,0.032,0.017,0.031,0.016,0.123,0.03,0.01,-0.025,0.022,-0.04,0.016,0,0.02,-0.009,0.022,-0.002,-0.013,-0.008,-0.035,-0.017,-0.028,0,0.036,-0.027,0.008,-0.036,-0.045,-0.034,0.004,0.018,-0.03,-0.002,-0.015,0.059,-0.063,0.01,-0.001,0.004,-0.013,0.003,0.001,0.007,-0.005,0.014,-0.017,0,0.001,0.01,-0.001,0.031,0.004,-0.059,0.008,-0.007,-0.068,0.044,0.023,-0.067,-0.022,-0.028,0.014,-0.003,0.015,-0.027,-0.054,-0.014,0.002,0.072,0.006,-0.066,0.07,-0.018,0.003,0.005,-0.065,0.029,-0.033,-0.067,-0.003,0.023,-0.121,-0.029,-0.063,-0.001,-0.003,-0.007,0,-0.065,0.013,-0.13,2.23274,0.0486517,0,-0.0417014,-0.00695024,-0.0695024,-0.0208522,-0.0208522
120,0.002,0.59289,1.3558,0.70053,0.91241,0.345,0.071,-0.043,0.438,0.725,-0.181,0,-0.003,0,0.005,-0.03,-0.024,-0.002,-0.005,0.005,-0.003,0.019,-0.011,0,0.005,0.012,0.016,0.007,0.015,0.006,0.006,-0.017,0.008,-0.009,-0.004,0,-0.015,0.012,-0.01,0.009,0.007,0.001,0.017,-0.01,0.026,-0.012,-0.013,0.044,-0.019,-0.055,-0.031,-0.013,0.029,0.023,0.007,-0.035,0.058,0.018,0.006,-0.036,0.087,0.036,-0.017,0.106,-0.065,-0.009,0.065,-0.031,-0.009,-0.041,-0.025,0.043,0.077,-0.142,0.087,0.177,-0.122,0.092,0.035,0.292,0.034,-0.07,-0.008,-0.007,-0.012,0.088,-0.024,-0.009,-0.009,0.047,-0.008,0.014,-0.001,0.004,0.004,0.025,-0.065,0.012,-0.001,0.095,0.016,-0.027,-0.231,-0.184,0.119,-0.174,0.15,-0.141,-0.008,-0.046,-0.013,0.115,-0.033,0.008,-0.04,-0.066,0.009,-0.008,0.026,-0.019,0.053,-0.026,0.001,0.008,0.045,0,0.03,0,-0.028,-0.03,-0.008,-0.073,0.05,0.049,-0.047,0.026,-0.082,0.039,-0.005,-0.004,-0.036,-0.031,-0.004,0.006,0.085,0.008,-0.092,0.058,-0.022,0.003,0.006,-0.073,0.03,-0.033,-0.071,-0.003,0.021,-0.129,-0.028,-0.065,-0.002,-0.003,-0.007,0,-0.069,0.014,-0.138,1.66402,0.612185,0,-0.0368786,-0.0811329,-0.177017,-0.705533,-0.103352
120,0.0032,0.37055,1.2184,0.96021,1.0822,0.345,0.071,-0.043,0.438,0.725,-0.181,0,-0.003,0,0.005,-0.03,-0.023,-0.003,-0.004,0.005,0.001,0.019,-0.004,-0.002,0.005,0.011,0.018,0.009,0.013,0.006,0.005,-0.013,0.004,-0.015,0,-0.003,-0.015,0.012,-0.01,0.008,0.009,0.002,0.019,-0.014,0.022,-0.005,-0.01,0.029,-0.017,-0.042,-0.018,0.017,0.006,0.01,0,-0.012,0.03,0,0.001,-0.016,0.056,-0.012,-0.014,0.049,-0.04,-0.006,0.025,-0.018,-0.007,-0.04,-0.041,-0.003,0.02,-0.029,-0.035,0.046,-0.078,0.048,0.026,0.089,0.013,-0.028,0.008,0.003,-0.036,0.052,-0.006,0,-0.012,0.013,0.015,0.021,-0.001,0.001,0.007,0.024,-0.046,0.005,-0.001,0.047,0.02,-0.011,-0.074,-0.094,0.004,-0.038,0.041,-0.047,-0.006,-0.028,0.051,-0.038,-0.001,0,-0.005,-0.003,0.004,0.004,0.01,-0.004,0.016,-0.02,0,0.001,0.006,-0.001,0.02,0.015,-0.065,-0.002,-0.009,-0.079,0.049,0.024,-0.075,0.001,-0.084,0.044,-0.003,-0.016,-0.057,-0.047,-0.015,0.006,0.092,0.008,-0.09,0.044,-0.003,0.002,0.005,-0.072,0.026,-0.025,-0.07,-0.003,0.019,-0.118,-0.029,-0.061,-0.002,-0.003,-0.007,0,-0.065,0.013,-0.13,1.77608,0.254432,0,-0.0410374,-0.0246225,-0.114905,-0.172626,-0.0246245
150,0.002,0.74111,1.3552,1.0345,1.7674,0.345,0.071,-0.043,0.438,0.725,-0.181,0,-0.001,0,0.002,-0.033,-0.02,-0.008,0.008,0.012,0.037,0.027,0.334,-0.05,-0.008,-0.03,0.013,-0.017,0.015,0.008,-0.02,-0.031,0.006,0.013,-0.013,-0.069,-0.026,0.006,0.002,0.007,0.005,0.003,0.026,-0.013,0.03,0.008,-0.001,0.022,-0.02,-0.038,-0.012,0.022,0.003,0.009,0,-0.005,0.023,-0.008,-0.001,-0.011,0.046,-0.027,-0.009,0.025,-0.024,-0.007,-0.002,-0.013,-0.002,-0.04,-0.039,-0.017,-0.003,0.009,-0.047,0,-0.045,0.031,0.015,0.018,0.015,0.114,0.031,0.01,-0.007,0.017,-0.059,0.023,0.006,0.03,-0.028,0.022,-0.002,-0.027,-0.028,-0.045,-0.015,-0.037,0,0.039,-0.043,0.007,-0.04,-0.036,-0.033,0.003,0.023,-0.035,0,-0.011,0.055,-0.06,0.012,-0.001,0.006,-0.024,0.004,0.001,0.007,-0.005,0.013,-0.016,0,0,0.008,-0.001,0.001,0.012,-0.053,0.004,-0.007,-0.06,0.038,0.011,-0.073,-0.025,-0.034,0.029,-0.002,-0.006,-0.038,-0.039,-0.013,0.002,0.077,0.007,-0.08,0.059,-0.018,0.003,0.005,-0.069,0.027,-0.023,-0.068,-0.003,0.023,-0.12,-0.029,-0.063,-0.001,-0.003,-0.007,0,-0.064,0.013,-0.129,2.31237,0.0442739,0,-0.0442739,0.014758,-0.0664109,-0.0221386,0
150,0.0032,0.46319,1.2286,0.59295,0.84533,0.345,0.071,-0.043,0.438,0.725,-0.181,0,-0.003,0,0.005,-0.03,-0.023,-0.002,-0.004,0.005,0,0.019,-0.007,-0.001,0.005,0.012,0.017,0.008,0.013,0.006,0.005,-0.015,0.006,-0.012,-0.002,-0.002,-0.015,0.011,-0.009,0.008,0.009,0.002,0.018,-0.013,0.024,-0.006,-0.01,0.035,-0.018,-0.046,-0.023,0.006,0.015,0.015,0.002,-0.02,0.04,0.007,0.003,-0.023,0.067,0.007,-0.014,0.069,-0.048,-0.007,0.038,-0.023,-0.007,-0.04,-0.034,0.014,0.04,-0.069,0.014,0.094,-0.092,0.064,0.029,0.158,0.021,-0.038,0.003,0,-0.018,0.061,-0.024,0.001,-0.008,0.03,-0.004,0.019,-0.001,-0.002,-0.001,0.014,-0.05,0.001,-0.001,0.067,0.01,-0.016,-0.138,-0.125,0.048,-0.09,0.086,-0.085,-0.006,-0.032,0.023,0.024,-0.012,0.003,-0.018,-0.032,0.006,0,0.017,-0.009,0.03,-0.023,0,0.004,0.015,0,0.009,0.017,-0.058,-0.011,-0.009,-0.086,0.056,0.049,-0.058,0.016,-0.08,0.04,-0.004,-0.005,-0.04,-0.036,-0.008,0.005,0.086,0.008,-0.089,0.059,-0.018,0.003,0.006,-0.072,0.03,-0.031,-0.071,-0.003,0.022,-0.128,-0.029,-0.065,-0.002,-0.003,-0.007,0,-0.069,0.014,-0.137,1.488,0.37441,0,-0.0406967,-0.024418,-0.138369,-0.375756,-0.0162787
150,0.005,0.29644,1.1088,0.71411,1.128,0.345,0.071,-0.043,0.438,0.725,-0.181,0,-0.003,0,0.005,-0.03,-0.023,-0.003,-0.004,0.005,0.001,0.019,-0.003,-0.003,0.006,0.011,0.018,0.01,0.013,0.005,0.004,-0.013,0.004,-0.016,0,-0.004,-0.015,0.012,-0.01,0.006,0.01,0.003,0.02,-0.014,0.022,-0.007,-0.012,0.028,-0.016,-0.04,-0.017,0.023,0.001,0.005,0,-0.01,0.027,-0.003,0,-0.015,0.051,-0.015,-0.013,0.042,-0.037,-0.006,0.023,-0.017,-0.007,-0.041,-0.046,-0.012,0.012,-0.01,-0.06,0.027,-0.076,0.042,0.026,0.058,0.008,-0.041,0.008,0.005,-0.05,0.059,0.015,-0.005,-0.017,0,0.034,0.023,-0.001,0.011,0.022,0.041,-0.048,0.013,-0.001,0.038,0.04,-0.015,-0.042,-0.09,-0.019,-0.01,0.018,-0.025,-0.006,-0.028,0.072,-0.075,0.004,-0.002,0,0.018,0.005,0.01,0.016,-0.001,0.019,-0.018,0,0.004,-0.022,0.001,-0.057,-0.008,-0.033,-0.003,-0.005,-0.039,0.024,0.003,-0.052,0.031,-0.115,0.062,-0.003,-0.044,-0.046,0.01,-0.008,-0.001,0.078,0.01,-0.124,0.025,-0.04,0.003,0.006,-0.06,0.029,-0.037,-0.063,-0.003,0.02,-0.131,-0.024,-0.061,-0.003,-0.003,-0.006,0,-0.067,0.014,-0.132,1.68755,0.153319,0,-0.0450938,-0.00901876,-0.117244,-0.0721957,0.00901713
150,0.008,0.18528,0.95164,0.97494,1.7186,0.345,0.071,-0.043,0.438,0.725,-0.181,0,-0.003,0,0.005,-0.03,-0.023,-0.003,-0.004,0.004,0.002,0.02,-0.005,-0.002,0.007,0.012,0.018,0.01,0.013,0.005,0.006,-0.012,0.003,-0.017,0,-0.001,-0.013,0.012,-0.008,-0.001,0.011,0.007,0.023,-0.014,0.021,0.01,-0.003,0.005,-0.02,-0.009,0.014,-0.032,0.017,-0.06,0.034,-0.029,0.028,0.012,0.013,0.006,-0.029,0.123,0.035,0.029,-0.016,-0.004,0.016,-0.016,0.004,-0.057,-0.055,-0.017,0.004,-0.006,-0.03,0.042,-0.083,0.047,0.025,0.069,0.008,-0.058,0.005,0.005,-0.061,0.077,0.04,-0.016,-0.023,-0.012,0.051,0.026,-0.001,0.031,0.048,0.048,-0.056,0.017,-0.001,0.029,0.088,-0.026,-0.047,-0.113,-0.02,-0.014,0.018,-0.025,-0.008,-0.032,0.087,-0.09,0.002,-0.002,-0.002,0.029,0.008,0.015,0.033,-0.001,0.036,-0.012,0,0.011,-0.045,0.004,-0.114,-0.059,0.012,-0.019,-0.002,0,0.003,0.005,-0.01,0.087,-0.175,0.068,-0.004,-0.052,-0.018,0.074,-0.004,-0.011,0.066,0.016,-0.201,-0.033,-0.101,0.005,0.007,-0.036,0.036,-0.091,-0.054,-0.002,0.007,-0.153,-0.017,-0.058,-0.005,-0.004,-0.006,0,-0.07,0.014,-0.133,2.25883,0.0735572,0.00210164,-0.0388802,-0.267958,-0.132403,-0.100971,-0.00735557
150,0.013,0.11402,0.80578,1.3772,2.9797,0.345,0.071,-0.043,0.438,0.725,-0.181,0,-0.003,0.001,0.005,-0.03,-0.023,-0.003,-0.004,0.004,0.001,0.02,-0.006,-0.001,0.006,0.012,0.017,0.011,0.011,0.005,0.007,-0.013,0.004,-0.015,-0.003,-0.001,-0.012,0.01,-0.005,-0.004,0.01,0.008,0.023,-0.015,0.023,0.021,0.002,-0.001,-0.021,-0.001,0.021,-0.045,0.021,-0.08,0.046,-0.038,0.032,0.022,0.018,0.012,-0.047,0.168,0.05,0.027,-0.004,-0.004,0.012,-0.017,0.01,-0.065,-0.058,-0.02,-0.002,-0.002,-0.006,0.049,-0.067,0.045,0.02,0.037,0.009,-0.015,0.014,0.008,-0.017,0.077,0.006,-0.003,-0.012,0.004,0.004,0.028,-0.001,0.017,0.023,0.013,-0.052,-0.003,-0.001,0.038,0.068,-0.02,-0.08,-0.096,-0.001,-0.016,0.039,-0.047,0.003,-0.019,0.085,-0.096,0.012,-0.003,0.011,0.017,0.01,0.013,0.035,0.018,0.022,-0.013,0,0.008,-0.027,0,-0.028,-0.008,-0.095,-0.019,-0.015,-0.114,0.074,0.087,-0.045,0.168,-0.377,0.132,-0.01,-0.086,-0.064,0.075,-0.017,-0.003,0.14,0.024,-0.317,-0.13,-0.071,0.005,0.006,-0.057,0.035,-0.108,-0.075,-0.001,-0.016,-0.163,-0.017,-0.059,-0.007,-0.005,-0.005,0,-0.073,0.015,-0.141,3.49968,0.104247,0.00124103,-0.0421951,-0.208494,-0.170022,-0.120512,0.0657242
200,0.0026,0.76011,1.2836,1.3036,1.8535,0.345,0.071,-0.043,0.438,0.725,-0.181,0,-0.002,0,0.003,-0.032,-0.02,-0.007,0.006,0.011,0.032,0.026,0.288,-0.043,-0.006,-0.024,0.014,-0.014,0.015,0.008,-0.017,-0.028,0.006,0.009,-0.011,-0.06,-0.024,0.006,0,0.007,0.005,0.002,0.025,-0.014,0.029,0.006,-0.002,0.023,-0.019,-0.038,-0.013,0.023,0.003,0.01,-0.001,-0.004,0.022,-0.008,-0.001,-0.011,0.048,-0.031,-0.011,0.026,-0.026,-0.007,-0.001,-0.013,-0.003,-0.039,-0.04,-0.018,-0.003,0.011,-0.053,-0.001,-0.048,0.031,0.017,0.015,0.013,0.083,0.027,0.009,-0.009,0.015,-0.056,0.022,0.004,0.028,-0.023,0.021,-0.002,-0.025,-0.024,-0.042,-0.015,-0.033,0,0.037,-0.04,0.008,-0.039,-0.039,-0.034,0.003,0.021,-0.033,-0.001,-0.012,0.055,-0.06,0.011,-0.001,0.005,-0.02,0.003,0,0.005,-0.005,0.011,-0.017,0,-0.001,0.012,-0.001,0.029,0.013,-0.062,0.008,-0.008,-0.071,0.044,0.018,-0.076,-0.035,-0.018,0.014,-0.003,0.013,-0.038,-0.066,-0.017,0.004,0.077,0.006,-0.063,0.065,-0.006,0.002,0.005,-0.068,0.027,-0.028,-0.069,-0.003,0.021,-0.115,-0.03,-0.062,-0.001,-0.003,-0.007,0,-0.063,0.013,-0.127,2.5003,0.0623247,0,-0.0389529,0.00779059,-0.0623247,-0.0155824,-0.00779059
200,0.0032,0.61759,1.2495,1.0801,0.8353,0.345,0.071,-0.043,0.438,0.725,-0.181,0,-0.003,0,0.005,-0.03,-0.023,-0.002,-0.004,0.005,-0.001,0.019,-0.007,0,0.004,0.012,0.017,0.008,0.013,0.006,0.006,-0.015,0.006,-0.012,-0.003,-0.002,-0.015,0.01,-0.009,0.008,0.008,0.002,0.018,-0.013,0.025,-0.005,-0.009,0.035,-0.018,-0.046,-0.022,-0.001,0.019,0.016,0.004,-0.022,0.042,0.01,0.003,-0.023,0.067,0.013,-0.014,0.073,-0.05,-0.008,0.038,-0.024,-0.007,-0.039,-0.029,0.019,0.044,-0.08,0.033,0.108,-0.094,0.068,0.029,0.179,0.024,-0.034,0.003,-0.001,-0.006,0.057,-0.041,0.005,-0.003,0.041,-0.016,0.017,-0.001,-0.006,-0.006,-0.006,-0.044,-0.007,-0.001,0.073,-0.008,-0.012,-0.16,-0.13,0.061,-0.106,0.101,-0.099,-0.005,-0.033,0.012,0.051,-0.016,0.005,-0.023,-0.049,0.007,-0.005,0.018,-0.014,0.038,-0.023,0.001,0.005,0.034,0,0.045,0.003,-0.048,-0.013,-0.008,-0.082,0.055,0.052,-0.053,0,-0.047,0.017,-0.005,0.021,-0.024,-0.051,-0.01,0.004,0.079,0.007,-0.081,0.064,-0.022,0.003,0.006,-0.069,0.031,-0.041,-0.07,-0.003,0.021,-0.128,-0.029,-0.065,-0.002,-0.003,-0.007,0,-0.068,0.014,-0.136,1.74472,0.392157,0.0080032,-0.040016,-0.0560224,-0.136054,-0.442087,-0.0640615
